序号,注音,语料统一用字,其他可接受的写法,辞典将来用字参考,普通话,优先级
1,ge4,个,,,的,1
2,i1 / liau3,欸,了,,了,2
3,du1,都,,,都,3
4,ngi2,你,,,你,4
5,ngai2,𠊎,,,我,5
6,oi4,爱,,,要,6
7,hi4,去,,,去,7
8,ge4ge4,个个,,,那个,8
9,ded5,得,,,得,9
10,gim1ha1,今下,,,现在,10
11,coi1,在,,,在,11
12,ngai2deu1ngin2,𠊎兜人,,,我们,12
13,ngai2den1ngin4,𠊎等人,,,我们,13
14,hau3,好,,,好,14
15,zin1he4,真係,,,真是,15
16,ciu4,就,,,就,16
17,zo4ded5,做得,,,能,17
18,tiet6piet6,特別,,,特别,18
19,ngin3gong3,听讲,,,听说,19
20,a1,啊,,,啊,20
21,he4,係,,,是,21
22,do1,多,,,多,22
23,ge3,𠮶,,,这,23
24,mong4,望,,,看,24
25,kon4,看,,,看,25
26,ngin2,人,,,人,26
27,van2 / han2,还,,,还,27
28,zin1,真,,,真,28
29,ge1go4,的个,,,这个,29
30,di1go4,底个,,,这个,30
31,mai1,买,,,买,31
32,m2,唔,,,不,32
33,wu2 mo3,唔好,,,不要。~着凉欸,33
34,wu2 mie4,唔咩,,,不是。~𠊎做欸,34
35,iu1,有,,,有,35
36,an3,咹,,,很,36
37,gong3,讲,,,说,37
38,li3boi4,里背,,,里,38
39,si2zet5,时节,,,时候,39
40,iung4,用,,,用,40
41,vu2,无,,,吗,41
42,ia1,也,,,也,42
43,zo4,做,,,做,43
44,ge4,个,,,那,44
45,iu4,又,,,又,45
46,ngi2tai4ga1,你大家,,,你们,46
47,ngi2deu1,你兜,,,你们,47
48,ngi2den1ngin4,你等人,,,你们,48
49,gi4ded5,记得,,,记得,49
50,an3e2 / an3,咹欸,咹,,这么,50
51,bi3,比,,,比,51
52,dau4,到,,,到,52
53,lien2,连,,,连,53
54,m2oi4,唔爱,,,不要,54
55,voi4,会,,,会,55
