"编号","建议用字","对应华语"
1,阮、（咱）lan,我/我们
2,汝、恁,你/你们
3,伊、因,他/他们（她/她们）
4,逐个、逐家、,大家
5,婴仔,婴儿
6,囡仔、囡,小孩/孩
7,后生,儿子
8,囝（jiǎn ）孙,子孙
9,查甫、达波,男人
10,查某,女人
11,囝婿,女婿
12,阿叔,小叔
13,阿嬷,外婆/奶奶
14,老母,母亲
15,阿公,祖父/爷爷/外公
16,祖公,先祖
17,阿爸、爸,爸爸
18,阿妈、阿母,妈妈
19,阿姆,伯母
20,阿伯,伯父
21,丈姆,岳母
22,丈人,岳父
23,同窗、同喔,同学
24,头家,老板
25,叔孙,叔侄
26,阿叔,叔叔
27,阿婶,婶婶
28,叔伯兄弟,堂兄弟
29,亲姆,亲家母
30,某,老婆
31,阿兄,哥哥
32,小弟,弟弟
33,阿姊,姐姐
34,小妹,妹妹
35,己、家己,自己
36,昂,丈夫、老公
37,缘投、帅 ,帅、帅哥
38,昂婿(ang sai ),丈夫
39,厝边(cu bi-),邻居
40,昂啊家、昂啊某,夫妻
41,少年家、少年,小伙子
42,大箍头,大块头
43,阿肥仔,胖子
44,少年人,年轻人
45,啊伯,大爷
46,老伙仔,老人
47,查某孙,孙女
48,人客,客人
49,歹人,坏蛋
50,外家,娘家
51,大官,公公
52,大家,婆婆
53,兄嫂,嫂子
54,新妇,媳妇儿
55,阿妗,舅妈
56,亲情,亲戚
57,拄则、,刚才、刚刚
58,较停仔、小等仔、等者,等一下、稍后
59,即时、随,马上、立刻
60,得要、强要,快要、将要
61,即阵,现在
62,较早、往摆、往过,以前
63,后摆、后日、将来,以后
64,进前,之前
65,了后,之后
66,时阵,时候
67,伫时,何时
68,偌久,多久
69,无偌久,没多久
70,迄日,那天
71,迄时,那时
72,古早,古代
73,日时,白天
74,天光,天亮
75,月头,月初
76,月尾,月底
77,今仔日,今天
78,暝日,日夜
79,后日,日后
80,年尾,年终
81,另日,改天
82,逐日、规日,每天、天天
83,明仔载、明仔日,明天
84,顶日,前天
85,永过,过去
86,下昏、暗眠、暗暝,夜晚、晚上
87,昨昏,昨天
88,透早(tao za ),一早、清晨、清早
89,年头,年初
90,落雨,下雨
91,落雪,下雪
92,着痧(diong shu ),中暑
93,透早 、早起(tao za),早上
94,规日,整天
95,存年,前年
96,迹近,最近
97,下摆,下次
98,顶过,上次
99,真久,很久，好久
100,即摆,这次
101,迄过,那次
102,拜几,星期几
103,底时、虾米时阵,什么时候
104,热天,夏天
105,寒天,冬天
106,点钟,小时
107,较晏,较晚
108,下昼、日昼、中昼,中午
109,下哺,下午
110,礼拜日,星期日
111,较（晏）,比较（迟）
112,礼拜,周
113,定定,常常
114,好天,好天气
115,否天、歹天,坏天气
116,乌阴,阴天
117,出大日,出太阳
118,古早时,古时候
119,头一摆,初次、第一次
120,下世人,下辈子
